text,page,section,block_type,source,label,label_id
"If the Cancel Action specified a Multiple Command Cancel Action, then the host should examine the status in the completion queue entry of each command to abort to determine whether the command was aborted or not.",3,Command Completion,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,RECOMMENDED,2
then the controller shall abort the command with a status code of Invalid Field in Command.,7,Reclaim Unit Handle Update (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
All command specific fields are reserved.,4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The Reclaim Unit Handle Update management operation for the I/O Management Send command provides a list of Placement Identifiers (refer to Figure 601).,7,Reclaim Unit Handle Update (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If a 128-bit Host Identifier has been specified and the Extended Data Structure bit is cleared to '0' in Command Dword 11, then the controller shall abort the command with the status code of Host Identifier Inconsistent Format.",12,7.8 Reservation Report command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
"Upon completion of the Flush command, the controller posts a completion queue entry to the associated I/O Completion Queue.",4,Command Completion,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The Reservation Report command returns a Reservation Status data structure to memory that describes the registration and reservation status of a namespace.,12,7.8 Reservation Report command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The user data format and any end-to-end protection information is I/O Command Set specific.,1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The Flush command is used to request that the contents of volatile write cache be made non-volatile.,4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
upon the completion of that I/O Management Send command.,8,Reclaim Unit Handle Update (Management Operation 01h),list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the currently referenced Reclaim Unit has not been written with any user data (i.e., is already empty), then the Placement Identifier may be modified to reference a different Reclaim Unit that is empty.",7,Reclaim Unit Handle Update (Management Operation 01h),list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,OPTIONAL,3
"The Reservation Register command is used to register, unregister, or replace a reservation key.",9,7.6 Reservation Register command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
Dword 0 of the completion queue entry is defined in Figure 593.,3,Command Completion,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The controller may or may not apply the specified Cancel Action to commands that are fetched:,2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,PROHIBITED,1
For each Placement Identifier in the list:,7,Reclaim Unit Handle Update (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
after the start of processing of the Cancel command; and,2,7.1 Cancel command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
follow the procedure described in section 3.3.1.3 to delete the I/O Submission Queue and recreate the I/O Submission Queue.,2,7.1 Cancel command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"As a result, the performance of the Cancel command may be impacted.",1,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,OPTIONAL,3
"If the namespace is a dispersed namespace that is able to be accessed by controllers in multiple participating NVM subsystems, then the size of the Reservation Status data structure is a function of the number of registrants of the namespace in the NVM subsystem containing the controller processing the command and the number of registrants of the namespace in each separate participating NVM subsystem.",12,7.8 Reservation Report command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
If a specified Placement Identifier is invalid due to:,7,Reclaim Unit Handle Update (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The controller may also flush additional data and/or metadata from any namespace.,4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,OPTIONAL,3
The I/O Management Send command is used to manage I/O and the behavior of the command is dependent on the specified operation as defined in the Management Operation field in Figure 599.,6,7.4 I/O Management Send command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
All other command specific fields are reserved.,2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The I/O Management Receive command is used to receive information from the controller used by the host to manage I/O.,5,7.3 I/O Management Receive command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The submission queue entry (SQE) structure and the fields that are common to all I/O commands are defined in section 4.1.,1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The following subsections provide definitions for each command.,1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
acquire a reservation on a namespace;,8,7.5 Reservation Acquire command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"use a second Cancel command with a Cancel Action set to Single Command Cancel (i.e., 00b) that specifies the CID of the Cancel command to abort; or",2,7.1 Cancel command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The returned data contains one or more Reclaim Unit Handle Status Descriptor data structures (refer to the applicable NVM Express I/O Command Set specification).,5,Reclaim Unit Handle Status (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The value FFFFFFFFh is not supported in this field unless footnote 4 in this figure indicates that a specific command does support that value.,1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
If a namespace exists in an Endurance Group that has:,4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
is the information at the time the controller processes that Reclaim Unit Handle Status Descriptor; and,5,Reclaim Unit Handle Status (Management Operation 01h),list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
the value of the Reclaim Group Identifier field being greater than or equal to the Number of Reclaim Groups field of the FDP Configuration Descriptor (refer to Figure 287) for the Endurance Group associated with the specified namespace; or,7,Reclaim Unit Handle Update (Management Operation 01h),list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"the specified Placement Handle field being greater than or equal to the Number of Placement Handles field specified when the namespace was created,",7,Reclaim Unit Handle Update (Management Operation 01h),list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
This command may support the use of the Namespace Identifier (NSID) field set to FFFFFFFFh.,1,7 I/O Commands,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,OPTIONAL,3
preempt a reservation held on a namespace and abort outstanding commands for that namespace.,8,7.5 Reservation Acquire command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"To abort an Admin command, the host uses the Abort command (refer to section 5.2.1).",2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the NUMD field corresponds to a length that is greater than the size of the associated data structure, then the entire contents of the data structure are transferred and no additional data is transferred, unless otherwise specified.",5,7.3 I/O Management Receive command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The controller returns the data structure in Figure 615 if the host has selected a 64-bit Host Identifier and the data structure in Figure 616 if the host has selected a 128-bit Host Identifier (refer to section 5.2.26.1.32).,12,7.8 Reservation Report command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"Controllers compliant with NVM Express Base Specification, Revision 1.4 and later shall not set the FB field to the value of 00b.",4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,PROHIBITED,1
There is no requirement to apply the specified Cancel Action to commands that have not been fetched by the controller.,2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The Cancel command uses the Command Dword 10 and Command Dword 11 fields.,2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the namespace is not a dispersed namespace, then the size of the Reservation Status data structure is a function of the number of registrants of the namespace (i.e., there is a Registrant data structure and/or Registrant Extended data structure for each such registrant).",12,7.8 Reservation Report command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If an abort action is performed on a command to abort, that action may be:",2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,OPTIONAL,3
"If the command uses PRPs for the data transfer, then PRP Entry 1 and PRP Entry 2 fields are used.",8,7.5 Reservation Acquire command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
